Address,Latitude,Longitude,Type
"110 Vines Landing Wallace, NC",34.7579706,-77.9490428,Bojangles
"5150 Hwy 89 East Walnut Cove, NC",36.31265696,-80.14007628,Bojangles
"2714 N.C. 24 West Warsaw, NC",34.99400303,-78.13943401,Bojangles
"1305 Carolina Ave. Washington, NC",35.55813129,-77.05952916,Bojangles
"1325 North Broome Street Waxhaw, NC",34.934966,-80.750158,Bojangles
"1119 Delwood Road Waynesville, NC",35.52432864,-82.98485935,Bojangles
"164 Weaver Road Weaverville, NC",35.703475,-82.56965,Bojangles
"6385 Hwy 52 Welcome, NC",35.912306,-80.253587,Bojangles
"1406 N. JK Powell Blvd. Whiteville, NC",34.34703697,-78.70881736,Bojangles
"6403 Burlington Road Whitsett, NC",36.063404,-79.607562,Bojangles
"1856 US Highway 421 Wilkesboro, NC",36.15052749,-81.20238105,Bojangles
"401 East Boulevard Williamston, NC",35.84354958,-77.05472052,Bojangles
"2409 Carolina Beach Road Wilmington, NC",34.1945773,-77.9355679,Bojangles
"1840 Parkwood Blvd W Wilson, NC",35.72243,-77.940119,Bojangles
"100 Carson Alley Windsor, NC",36.00860945,-76.9543308,Bojangles
"623 Waughtown St Winston Salem, NC",36.070037,-80.225484,Bojangles
"624 South State Street Yadkinville, NC",36.12399134,-80.66041745,Bojangles
"1955 NC Highway 86 N Yanceyville, NC",36.41608722,-79.34866581,Bojangles
"1513 N. Arendell Avenue Zebulon, NC",35.83984455,-78.32652765,Bojangles
3408 Poole Road Raleigh,35.768348,-78.579871,KFC
1599 US Highway 70 W Garner,35.72511,-78.64879,KFC
4040 Capital Blvd. Raleigh,35.83612,-78.58143,KFC
5434 Six Forks Rd Raleigh,35.85553,-78.641441,KFC
6405 Falls Of Neuse Rd. Raleigh,35.870478,-78.621778,KFC
7040 Highway 64  E. Knightdale,35.79836,-78.4939,KFC
1011 N Harrison Ave Cary,35.803464,-78.783392,KFC
809 Airport Blvd. Morrisville,35.856373,-78.824771,KFC
11657 Highway 70 West Clayton,35.654304,-78.474698,KFC
5530 North Carolina Highway 42 Garner,35.605432,-78.567717,KFC
1403 West Williams Blvd Apex,35.75007,-78.87683,KFC
7112 G. B. Alford Highway Holly Springs,35.635926,-78.830916,KFC
12313 Capital Blvd. Wake Forest,35.98267,-78.53905,KFC
1804 South Miami Blvd. Durham,35.945548,-78.838428,KFC
161 Wakelon Drive Zebulon,35.833469,-78.314827,KFC
12300 State Highway 210 Benson,35.517081,-78.561932,KFC
1110 W. NC 54 Durham,35.91988,-78.957413,KFC
806 Fayetteville Street Durham,35.98549,-78.89902,KFC
511 Horton Rd. Durham,36.05094,-78.90371,KFC
3570 Hillsborough Rd Durham,36.022476,-78.952669,KFC
1544 Highway 56 Creedmoor,36.146052,-78.723997,KFC
406 U.S. Highway 70 East Selma,35.520531,-78.293058,KFC
207 S. Bickett Boulevard Louisburg,36.092918,-78.298395,KFC
63 Lowes Drive Pittsboro,35.745873,-79.166797,KFC
1192 W. Broad Street Dunn,35.316309,-78.626255,KFC
353 S. Churton Street Hillsborough,36.06047,-79.102663,KFC
527 East Industry Drive Oxford,36.298375,-78.584702,KFC
704 Horner Boulevard Sanford,35.47178,-79.17424,KFC
1870 Tarboro Street  W. Wilson,35.719794,-77.948897,KFC
130 Raleigh Road Henderson,36.321217,-78.411287,KFC
1553 Dabney Drive Henderson,36.332774,-78.435845,KFC
901 Highway 301 Wilson,35.72121,-77.892908,KFC
1738 S NC Highway 119 Mebane,36.067699,-79.300087,KFC
895 NC Highway 24-87 Cameron,35.261956,-79.047169,KFC
2180 Durham Road Roxboro,36.364802,-78.983245,KFC
1702 East 11th Street Siler City,35.7332,-79.439505,KFC
700 East Ash Street Goldsboro,35.382619,-77.985983,KFC
2108 Stone Rose Avenue Rocky Mount,35.960243,-77.820895,KFC
214 North Berkeley Boulevard Goldsboro,35.37258,-77.949394,KFC
3613 Ramsey Street Fayetteville,35.11,-78.87883,KFC
1820 N. Church Street Burlington,36.095758,-79.406942,KFC
